time,T_h_model,T_h_meas,T_h_assim,T_c_model,T_c_meas,T_c_assim,mdot_model,mdot_assim,dP_pump_mean
0.0,320.06818972069317,320.0163038715785,320.0717212509608,289.9725002220738,290.01402494779285,289.99626326217043,2.0,2.0,200000.0
0.5,320.1044279908763,319.55607226689733,320.0624194233024,289.9421959384326,290.2345275178369,289.9702658976943,3.99797999599164,3.9979799959797186,199798.0
1.0,320.0921183176251,320.1451751871597,320.1042996752795,289.9191811517928,289.6911705132064,289.90151832762734,5.993902080870633,5.993902080867162,199592.21007837795
1.5,320.1309623352954,319.82000273975626,320.09650262491954,289.8535661115298,289.51807741792175,289.80459248734746,7.987728508526221,7.987728508506417,199382.64636083576
2.0,320.12011873292465,320.2535972191386,320.1230608167497,289.7592062339211,290.8710058513192,289.8495962603997,9.97942169769616,9.979421697518056,199169.32524578655
2.5,320.1436695190114,320.13380490672745,320.160815211129,289.8066604357436,290.3866365445756,289.85011651555374,11.968944231916499,11.968944231669306,198952.26340153973
3.0,320.17839014372777,319.2156192821193,320.09969989682276,289.81077405564344,290.47896173366644,289.85371378767695,13.956258867388794,13.956258866620493,198731.47776382268
3.5,320.11430814194625,319.96544795260485,320.1122106640604,289.8177455494175,289.8812052593297,289.8210951561595,15.941328526702698,15.941328526617697,198506.98553256187
4.0,320.1237809185872,320.7034968652656,320.176256848536,289.7874126320529,289.6831717901092,289.7829745690453,17.92411631336008,17.924116315731943,198278.80416974146
4.5,320.18473249791055,319.4394947740244,320.1148526821229,289.7525865552904,290.0832250067075,289.78613117849875,19.904585507442846,19.904585504267928,198046.95139557685
5.0,320.1203829363169,320.1169120526623,320.1140606535908,289.7595355585128,290.48875553391207,289.81255843428727,21.88269955871444,21.882699559214274,197811.44518752486
5.5,320.11662100584215,320.1546255259659,320.12803886866413,289.78834558440036,289.3912485358258,289.7635630519943,23.858422121781313,23.858422121886704,197572.3037740792
6.0,320.1275307303012,320.89524172443294,320.1820104426484,289.7427372054399,290.0295786024409,289.759061487765,25.831717008054312,25.831717012921473,197329.5456347383
6.5,320.17843087795757,320.41710025929,320.2070115396084,289.74111066357,289.35403067838246,289.7176172002292,27.80254823703576,27.80254823770958,197083.18949679006
7.0,320.2003416824798,320.182430832316,320.2053953960403,289.7027851619307,290.51433878048084,289.7458009371891,29.770880009591615,29.7708800118927,196833.25433197396
7.5,320.19576923516235,320.5581044285742,320.22278766188964,289.7330872533963,290.06354379053283,289.76369990645196,31.73667671118119,31.736676712858348,196579.75935046948
8.0,320.2101684365509,320.2225128740677,320.21324063329627,289.75487291053696,290.1077703295455,289.77058736166845,33.6999029558494,33.699902956615546,196322.7240043259
8.5,320.19765919596085,321.0253631168077,320.2348552986828,289.76413640365945,290.34507168294454,289.7976179444401,35.66052351709427,35.66052351872164,196062.16797469574
9.0,320.21629919347134,320.5106960275413,320.23006885240267,289.794401086464,290.66429529476085,289.84787644859205,37.61850335219486,37.61850335840399,195798.1111793132
9.5,320.2086365077681,319.79404453298633,320.19025669927163,289.8470188813741,289.7729172212758,289.84447015064103,39.573807682311774,39.573807681832236,195530.5737666965
10.0,320.16592606894454,319.91088497284346,320.1607233633632,289.846413476413,289.73390427249495,289.83711854225277,41.526401873306995,41.5264018731327,195259.57610459748
10.5,320.13347613907547,320.24803619791766,320.134538813254,289.8421019266851,289.218995366756,289.81626685170124,43.47625153378689,43.47625153015832,194985.13878642223
11.0,320.1043468580803,320.1676835035879,320.09688504310435,289.82516690559396,289.4445477672593,289.8117582695718,45.423322481954365,45.423322481689205,194707.28262342737
11.5,320.063816774827,319.6066602047156,320.0445420836716,289.82346392623435,290.5122291112248,289.8504525622347,47.36758070675582,47.36758070449718,194426.02863919333
12.0,320.0087453207756,319.7848224547522,319.99664869325187,289.86466423556794,289.2061330444303,289.833781977668,49.30899243766985,49.30899243736656,194141.39807865175
12.5,319.95799795062777,319.3990593893403,319.94464244559816,289.8509226936648,290.571246951438,289.8819338515197,51.24752414532847,51.24752414517965,193853.4123886692
13.0,319.9033247620852,318.8847406622434,319.87726388059093,289.9024375317393,290.1691063159559,289.9063004774345,53.18314246017095,53.1831424501999,193562.09321997664
13.5,319.83328066550325,320.1371056730937,319.8417314018632,289.9291999070437,289.56911922534226,289.9166104441827,55.11581422970022,55.11581423322338,193267.4624345409
14.0,319.7949783171969,320.5671140782527,319.81336548729405,289.94227221297183,290.6828945193654,289.9720691386456,57.04550659759303,57.04550660855418,192969.54208738208
14.5,319.7639641796048,319.33074785544534,319.7534357090992,290.000534329233,289.8129950175359,289.99321394571103,58.97218688725833,58.9721868748791,192668.35442703127
15.0,319.7013987268499,320.3493335369631,319.71088810729555,290.0242642834336,290.1119045992098,290.0262043987825,60.895822604627554,60.895822617919364,192363.92190010924
15.5,319.6562187313306,319.93477861427886,319.6630091575279,290.0595802741673,290.363943077597,290.0668774865291,62.81638160306573,62.81638161601666,192056.26713205152
16.0,319.6057673481719,320.481782698339,319.61953966676214,290.1029082501929,289.4923757036104,290.0926816501419,64.73383178155535,64.73383180195935,191745.41293873382
16.5,319.55968461945173,319.45801144213505,319.5578235445201,290.13203782380333,289.2113892321739,290.1135459461398,66.64814143974245,66.64814143520175,191431.38232992188
17.0,319.4954175113422,319.7468695689168,319.4978843066513,290.1555895699145,289.5041532031255,290.14109430779985,68.55927895123556,68.55927896063066,191114.1984780965
17.5,319.432964574619,318.878340147685,319.4210748895944,290.1854772035706,289.88237670286213,290.17643528126524,70.46721309166017,70.4672130622232,190793.8847381361
18.0,319.3537497627978,319.30270740635046,319.35063181138435,290.22341539344086,290.5241934980383,290.22746917014183,72.37191269774867,72.37191268969713,190470.4646353993
18.5,319.28096114790213,319.44584043515425,319.2837443202583,290.2763510713541,290.3597505643273,290.27980135538246,74.27334707701567,74.27334708215471,190143.9618578477
