time,T_h_model,T_h_meas,T_h_assim,T_c_model,T_c_meas,T_c_assim,mdot_model,mdot_assim,dP_pump_mean
0.0,320.06818972069317,320.0163038715785,320.0718800708082,289.9581608622157,290.01402494779285,289.9840479521531,2.0,2.0,200000.0
0.5,320.1045855733107,319.55623108674473,320.0628097113418,289.9157127717252,290.2223122078196,289.94590724037835,3.99797999599164,3.9979799959795033,199798.0
1.0,320.09250365837505,320.1455654751991,320.1048404204161,289.88055148133486,289.66681185589044,289.86433497072323,5.993902080870417,5.993902080866759,199592.21007837795
1.5,320.13149177470336,319.8205434848929,320.0971859855722,289.80214181983814,289.48089406101764,289.7547329776287,7.9877285085258185,7.987728508505923,199382.64636083582
2.0,320.12078190744097,320.25428057979127,320.1233785404657,289.6949941706747,290.8211463416004,289.78684838181204,9.979421697695669,9.979421697516118,199169.3252457866
2.5,320.1439557748153,320.1341226304434,320.1611307283509,289.7294329099343,290.3238886659879,289.77411751735275,11.968944231914566,11.968944231658995,198952.26340154
3.0,320.1786599907407,319.2159347993412,320.1000473297879,289.7204495256931,290.40296273546545,289.76482127182777,13.9562588673785,13.956258866595256,198731.47776382382
3.5,320.11459330212,319.96579538557,320.1124194413316,289.7146459108267,289.7923127434805,289.71913305712803,15.941328526677493,15.94132852657488,198506.98553256478
4.0,320.12390825888315,320.7037056425368,320.17647082009654,289.6710748302747,289.58120969107773,289.66760231714886,17.924116313317313,17.924116315669586,198278.8041697464
4.5,320.1848428804255,319.43970874558494,320.1148849261697,289.6229107150658,289.9678527548111,289.6576668438961,19.904585507380563,19.904585504209802,198046.95139558418
5.0,320.1202872968069,320.1169442967091,320.113810400793,289.6170041177271,290.3602911993094,289.67108232043523,21.88269955865638,21.88269955916634,197811.44518753182
5.5,320.11621623289005,320.1543752731681,320.12768411152666,289.6326828928057,289.2497724219738,289.60876946936645,23.858422121733437,23.858422121860286,197572.30377408498
6.0,320.12699173982924,320.89488696729546,320.18153189292934,289.5738666245063,289.87478501981303,289.59092569356415,25.831717008027926,25.8317170129467,197329.54563474152
6.5,320.1777357845138,320.41662170957096,320.2064452920386,289.55888138039643,289.1858948841816,289.53604099487217,27.80254823706096,27.802548237796167,197083.18949678683
7.0,320.19952380800567,320.1818645847462,320.20462276421887,289.5071578818868,290.3327625751238,289.55094823350095,29.77088000967808,29.77088001197251,196833.25433196287
7.5,320.1947077066142,320.5573317967528,320.2218904455303,289.5240117737339,289.8686910868447,289.5554883262476,31.736676711260895,31.736676712999056,196579.75935045912
8.0,320.20894224674413,320.22161565770836,320.21214808367336,289.5327022957206,289.8995587493411,289.5492503286348,33.69990295598993,33.69990295679648,196322.72400430738
8.5,320.1961955354518,321.0242705671848,320.2334697508807,289.528736423133,290.1237346499109,289.5631703018557,35.66052351727495,35.66052351896348,196062.1679746716
9.0,320.2144980898533,320.5093104797392,320.2282608695575,289.54600048021564,290.4298476521764,289.60043701008436,37.61850335243637,37.61850335878626,195798.11117928036
9.5,320.20636651053536,319.7922365501412,320.1880224113418,289.5855447442112,289.5254777827681,289.58385496890435,39.57380768269352,39.57380768234573,195530.57376664385
10.0,320.163180525224,319.90865068491365,320.1579937561384,289.5717895292817,289.47328909075827,289.56319741300837,41.52640187381978,41.52640187369106,195259.57610452583
10.5,320.1301834514434,320.24530659069285,320.1313635906772,289.5542559107541,288.9450742375116,289.528891482551,43.476251534344456,43.47625153080423,194985.13878634328
11.0,320.1005538376496,320.16450828101114,320.09317588522316,289.52416529506877,289.157172398109,289.51129793619754,45.42332248259935,45.423322482352006,194707.2826233347
11.5,320.0594336457277,319.6029510468344,320.0401095972365,289.50941713322675,290.2117687778506,289.5372460353276,47.36758070741767,47.36758070503539,194426.0286390969
12.0,320.0035815403756,319.7803899683171,319.9916508752207,289.5378747253177,288.8929265175232,289.50740351649523,49.30899243820726,49.30899243799143,194141.3980785724
12.5,319.9522077848106,319.3940615713092,319.9388238251944,289.5110424217104,290.2448684902652,289.54289250052375,51.247524145952404,51.24752414585061,193853.41238857585
13.0,319.89665229968375,318.87892204183964,319.8706163727495,289.550131676857,289.83006496495994,289.5545814386476,53.18314246084089,53.18314245101781,193562.09321987518
13.5,319.82571555824126,320.13045816525226,319.8342600995363,289.56421474663154,289.2174001865553,289.5519136514144,55.11581423051688,55.11581423400632,193267.4624344156
14.0,319.78652257618023,320.5596427759258,319.8048982020966,289.56437623566524,290.3181977265971,289.5947529155466,57.04550659837476,57.04550660951891,192969.5420872606
14.5,319.75444483567964,319.32228057024787,319.74398687225744,289.6101276755227,289.4356787944369,289.6032119469735,58.97218688822155,58.97218687584635,192668.35442687979
